frequency_id,line_id,start_time,end_time,headway_sec
T230,A_1,05:50:00,06:19:00,60
T231,A_1,05:35:00,06:04:00,60
T232,A_1,05:20:00,05:49:00,60
T233,A_1,05:05:00,05:34:00,60
T24,A_2,14:15:00,14:44:00,60
T244,A_1,23:18:00,23:47:00,60
T245,A_1,22:56:00,23:25:00,60
T246,A_1,22:34:00,23:03:00,60
T247,A_1,22:12:00,22:41:00,60
T248,A_1,16:21:00,16:50:00,60
T249,A_1,16:13:00,16:42:00,60
T25,A_2,14:25:00,14:54:00,60
T250,A_2,19:20:00,19:49:00,60
T251,A_2,19:05:00,19:34:00,60
T252,A_2,18:50:00,19:19:00,60
T253,A_2,18:35:00,19:04:00,60
T254,A_2,18:20:00,18:49:00,60
T256,A_2,00:00:00,00:29:00,60
T257,A_2,18:05:00,18:34:00,60
T258,A_2,17:50:00,18:19:00,60
T259,A_2,17:35:00,18:04:00,60
T26,A_2,14:35:00,15:04:00,60
T260,A_2,17:20:00,17:49:00,60
T261,A_2,17:05:00,17:34:00,60
T262,A_2,16:50:00,17:19:00,60
T263,A_2,16:35:00,17:04:00,60
T264,A_2,16:20:00,16:49:00,60
T265,A_2,16:05:00,16:34:00,60
T266,A_2,15:50:00,16:19:00,60
T267,A_2,15:35:00,16:04:00,60
T268,A_2,15:20:00,15:49:00,60
T269,A_2,15:05:00,15:34:00,60
T27,A_2,14:45:00,15:14:00,60
T270,A_2,14:50:00,15:19:00,60
T271,A_2,14:35:00,15:04:00,60
T272,A_2,14:20:00,14:49:00,60
T273,A_2,14:05:00,14:34:00,60
T274,A_2,13:50:00,14:19:00,60
T275,A_2,13:35:00,14:04:00,60
T276,A_2,13:20:00,13:49:00,60
T277,A_2,13:05:00,13:34:00,60
T278,A_2,12:50:00,13:19:00,60
T279,A_2,12:35:00,13:04:00,60
T28,A_2,14:55:00,15:24:00,60
T280,A_2,12:20:00,12:49:00,60
T282,A_2,23:20:00,23:49:00,60
T283,A_2,23:05:00,23:34:00,60
T284,A_2,22:50:00,23:19:00,60
T285,A_2,22:35:00,23:04:00,60
T286,A_2,22:20:00,22:49:00,60
T287,A_2,22:05:00,22:34:00,60
T288,A_2,21:50:00,22:19:00,60
T289,A_2,21:35:00,22:04:00,60
T29,A_2,15:05:00,15:34:00,60
T290,A_2,21:20:00,21:49:00,60
T291,A_2,21:05:00,21:34:00,60
T292,A_2,20:50:00,21:19:00,60
T293,A_2,20:35:00,21:04:00,60
T294,A_2,20:20:00,20:49:00,60
T295,A_2,20:05:00,20:34:00,60
T296,A_2,19:50:00,20:19:00,60
T297,A_2,19:35:00,20:04:00,60
T3,A_2,20:45:00,21:14:00,60
T30,A_2,15:13:00,15:42:00,60
T301,A_2,06:05:00,06:34:00,60
T302,A_2,06:20:00,06:50:00,60
T303,A_2,06:35:00,07:05:00,60
T304,A_2,12:05:00,12:34:00,60
T305,A_2,11:50:00,12:19:00,60
T306,A_2,11:35:00,12:04:00,60
T307,A_2,11:20:00,11:49:00,60
T308,A_2,11:05:00,11:34:00,60
T309,A_2,10:50:00,11:19:00,60
T31,A_2,15:21:00,15:50:00,60
T310,A_2,10:35:00,11:04:00,60
T311,A_2,10:20:00,10:49:00,60
T312,A_2,10:05:00,10:34:00,60
T313,A_2,09:50:00,10:19:00,60
T314,A_2,09:35:00,10:04:00,60
T315,A_2,09:20:00,09:49:00,60
T316,A_2,09:05:00,09:35:00,60
T317,A_2,08:50:00,09:20:00,60
T318,A_2,08:35:00,09:05:00,60
T319,A_2,08:20:00,08:50:00,60
T32,A_2,15:29:00,15:58:00,60
T320,A_2,08:05:00,08:35:00,60
T321,A_2,07:50:00,08:20:00,60
T322,A_2,07:35:00,08:05:00,60
T323,A_2,07:20:00,07:50:00,60
T324,A_2,07:05:00,07:35:00,60
T325,A_2,06:50:00,07:20:00,60
T327,A_1,23:30:00,23:59:00,60
T328,A_1,23:15:00,23:44:00,60
T329,A_1,23:00:00,23:29:00,60
T33,A_2,15:37:00,16:06:00,60
T330,A_1,22:45:00,23:14:00,60
T331,A_1,22:30:00,22:59:00,60
T332,A_1,22:15:00,22:44:00,60
T333,A_1,22:00:00,22:29:00,60
T334,A_1,21:45:00,22:14:00,60
T335,A_1,21:30:00,21:59:00,60
T336,A_1,21:15:00,21:44:00,60
T337,A_1,21:00:00,21:29:00,60
T338,A_1,20:45:00,21:14:00,60
T339,A_1,20:30:00,20:59:00,60
T34,A_2,15:45:00,16:14:00,60
T340,A_1,20:15:00,20:44:00,60
T341,A_1,20:00:00,20:29:00,60
T342,A_1,19:45:00,20:14:00,60
T343,A_1,19:30:00,19:59:00,60
T344,A_1,19:15:00,19:44:00,60
T345,A_1,19:00:00,19:29:00,60
T346,A_1,18:45:00,19:14:00,60
T347,A_1,18:30:00,18:59:00,60
T348,A_1,18:15:00,18:44:00,60
T349,A_1,18:00:00,18:29:00,60
T35,A_2,15:53:00,16:22:00,60
T350,A_1,17:45:00,18:14:00,60
T351,A_1,17:30:00,17:59:00,60
T352,A_1,17:15:00,17:44:00,60
T353,A_1,17:00:00,17:29:00,60
T354,A_1,16:45:00,17:14:00,60
T355,A_1,16:30:00,16:59:00,60
T356,A_1,16:15:00,16:44:00,60
T357,A_1,16:00:00,16:29:00,60
T358,A_1,15:45:00,16:14:00,60
T359,A_1,15:30:00,15:59:00,60
T36,A_2,16:01:00,16:30:00,60
T360,A_1,15:15:00,15:44:00,60
T361,A_1,15:00:00,15:29:00,60
T362,A_1,14:45:00,15:14:00,60
T363,A_1,14:30:00,14:59:00,60
T364,A_1,14:15:00,14:44:00,60
