shapeid,id,x,y,z,seq_id
66113,66113,235153.82364999998,891286.8278999999,0,7
66166,66166,235638.0465,891407.871,0,1
66166,66166,235639.4475,891421.8289,0,2
66166,66166,235646.2447,891460.5283,0,3
66166,66166,235648.5864,891473.29535,0,4
66167,66167,235648.5864,891473.29535,0,1
66167,66167,235650.9281,891486.0624,0,2
66167,66167,235653.1748,891497.6655,0,3
66167,66167,235655.73025000002,891510.3952500001,0,4
66168,66168,235655.73025000002,891510.3952500001,0,1
66168,66168,235658.2857,891523.125,0,2
66168,66168,235662.4032,891542.8873,0,3
66168,66168,235667.3043,891568.8255,0,4
66168,66168,235669.75329999998,891581.5861500001,0,5
66169,66169,235796.6749,891428.79255,0,1
66169,66169,235804.2068,891432.4634,0,2
66169,66169,235845.4113,891452.481,0,3
66169,66169,235900.234,891478.0915,0,4
66169,66169,235947.3429,891501.6792,0,5
66169,66169,235948.9873,891502.534,0,6
66169,66169,235959.98235,891509.7693,0,7
66170,66170,235648.8293,891393.801,0,1
66170,66170,235654.8277,891394.2212,0,2
66170,66170,235671.5059,891397.8849,0,3
66170,66170,235691.4874,891401.4074,0,4
66170,66170,235714.8176,891403.7391,0,5
66170,66170,235742.6035,891406.4502,0,6
66170,66170,235757.687,891410.2332,0,7
66170,66170,235765.52354999998,891413.7885,0,8
66171,66171,235765.52354999998,891413.7885,0,1
66171,66171,235773.3601,891417.3438,0,2
66171,66171,235789.143,891425.1217,0,3
66171,66171,235796.6749,891428.79255,0,4
66172,66172,235600.3022,891398.9582,0,1
66172,66172,235608.9041,891396.6276,0,2
66172,66172,235621.9394,891393.2713,0,3
66172,66172,235630.9379,891393.0195,0,4
66173,66173,235536.4816,891419.5045,0,1
66173,66173,235553.2927,891413.4741,0,2
66173,66173,235591.7003,891401.2888,0,3
66173,66173,235600.3022,891398.9582,0,4
66174,66174,235508.3821,892008.44415,0,1
66174,66174,235509.3663,892016.4302,0,2
66174,66174,235512.2927,892031.5291,0,3
66174,66174,235512.8797,892034.66205,0,4
66175,66175,235478.8678,891655.03725,0,1
66175,66175,235481.3887,891667.7906,0,2
66175,66175,235483.372,891677.8266,0,3
66175,66175,235502.7742,891774.155,0,4
66175,66175,235505.46935000003,891786.84775,0,5
66176,66176,235512.39375,891944.3621,0,1
66176,66176,235508.9339,891956.9006,0,2
66176,66176,235505.5503,891969.0118,0,3
66176,66176,235506.0215,891987.4695,0,4
66176,66176,235507.3979,892000.4581,0,5
66176,66176,235508.3821,892008.44415,0,6
66177,66177,235464.8674,891572.5984,0,1
66177,66177,235464.0533,891580.1008,0,2
66177,66177,235476.3469,891642.2839,0,3
66177,66177,235478.8678,891655.03725,0,4
66178,66178,235505.46935000003,891786.84775,0,1
66178,66178,235508.1645,891799.5405,0,2
66178,66178,235515.8081,891833.7695,0,3
66178,66178,235518.32935,891846.5765,0,4
66179,66179,235518.32935,891846.5765,0,1
66179,66179,235520.8506,891859.3835,0,2
66179,66179,235522.9932,891871.9362,0,3
66179,66179,235525.3425,891887.389,0,4
66179,66179,235524.934,891900.3261,0,5
66179,66179,235519.3202,891919.1022,0,6
66179,66179,235515.8536,891931.8236,0,7
66179,66179,235512.39375,891944.3621,0,8
66180,66180,235480.5256,891510.8637999999,0,1
66180,66180,235476.2609,891523.0521,0,2
66180,66180,235469.0864,891546.1274,0,3
66180,66180,235468.8825,891547.14,0,4
66181,66181,235514.928,891434.5279,0,1
66181,66181,235512.7082,891435.8293,0,2
66181,66181,235503.9733,891449.4693,0,3
66181,66181,235484.7903,891498.6755,0,4
66181,66181,235480.5256,891510.8637999999,0,5
66207,66207,234771.77519999997,891397.7685,0,1
66207,66207,234770.3894,891410.8376,0,2
66207,66207,234766.3863,891431.5062,0,3
66207,66207,234760.7874,891445.7615,0,4
66207,66207,234755.5394,891457.7395,0,5
66208,66208,234773.1996,891347.3864,0,1
66208,66208,234773.161,891384.6994,0,2
