X,Y,OBJECTID,ARC_Street,ARC_City,ARC_State,ARC_ZIP,PSC_NUMBER,School_Type,County,School_Name,Grades
-75.520082881191016,38.376965742126849,1454,31481 Ocean City Road,Salisbury,MD,21804,22.005,Elementary,Wicomico,Beaver Run Elementary School,PreK-2
-76.730256358809356,39.360368683146234,1455,7407 Dorman Drive,Baltimore,MD,21208,3.089,Elementary,Baltimore,Bedford Elementary School,1-5
-76.693646018868378,39.280743182828303,1456,301 South Beechfield Avenue,Baltimore,MD,21229,30.195,PreK-8,Baltimore City,Beechfield Elementary/Middle School # 246,PreK-8
-78.852040685317206,39.577461116927473,1457,14401 Barton Boulevard,Cumberland,MD,21502,1.003,Elementary,Allegany,Bel Air Elementary School,PreK-5
-76.350285261218289,39.538883521677725,1458,30 East Lee Street,Bel Air,MD,21014,12.024,Elementary,Harford,Bel Air Elementary School,PreK-5
-76.347806356598497,39.531269272937074,1459,100 Heighe Street,Bel Air,MD,21014,12.004,High,Harford,Bel Air High School,9-12
-76.344425988997841,39.527878167790995,1460,99 Idlewild Street,Bel Air,MD,21014,12.035,Middle,Harford,Bel Air Middle School,6-8
-77.054755845310638,39.081932680053619,1461,13801 Rippling Brook Drive,Silver Spring,MD,20906,15.206,Elementary,Montgomery,Bel Pre Elementary School,PreK-2
-76.621919867022896,39.229716029951959,1462,4502 Belle Grove Road,Baltimore,MD,21225,2.121,Elementary,Anne Arundel,Belle Grove Elementary School,PreK-5
-76.786532774155475,39.204124669877991,1463,8125 Old Stockbridge Drive,Ellicott City,MD,21043,13.078,Elementary,Howard,Bellows Spring Elementary School,PreK-5
-77.168710478139118,39.032227390282678,1464,8225 Bells Mill Road,Potomac,MD,20854,15.185,Elementary,Montgomery,Bells Mill Elementary School,HS-5
-77.06681024019187,39.178865964870383,1465,19528 Olney Mill Road,Olney,MD,20832,15.021,Elementary,Montgomery,Belmont Elementary School,K-5
-76.6709807930214,39.303421940249486,1466,1406 North Ellamont Street,Baltimore,MD,21216,30.214,Elementary,Baltimore City,Belmont Elementary School # 217,PreK-5
-76.918561567992612,39.038682797055472,1467,4300 Wicomico Avenue,Beltsville,MD,20705,16.115,PreK-8,Prince George's,Beltsville Academy,PreK-8
-76.502411035234346,39.058664126109178,1468,360 Broadwater Road,Arnold,MD,21012,2.056,Elementary,Anne Arundel,Belvedere Elementary School,PreK-5
-76.58909357241842,39.085308441269952,1469,365 Lynwood Drive,Severna Park,MD,21146,2.029,Elementary,Anne Arundel,Benfield Elementary School,K-5
-76.674866287797883,38.329288524054483,1470,27180 Point Lookout Road,Loveville,MD,20656,18.005,Elementary,St. Mary's,Benjamin Banneker Elementary School,PreK-5
-76.886752144730195,38.826929911014297,1471,4601 Beauford Road,Morningside,MD,20746,16.215,Elementary/Middle,Prince George's,Benjamin Foulois Creative and Performing Arts Academy,K-8
-76.593614760005721,39.232829160037177,1472,1201 Cambria Street,Baltimore,MD,21225,30.099,High,Baltimore City,Benjamin Franklin Building # 239,9-12
-76.897850615368142,38.601285637953957,1473,2040 St Thomas Drive,Waldorf,MD,20601,8.002,Middle,Charles,Benjamin Stoddert Middle School,6-8
-76.947604040941073,38.830344063895012,1474,2501 Olson Street,Temple Hills,MD,20748,16.152,Middle,Prince George's,Benjamin Stoddert Middle School,6-8
-76.745817288774617,38.957872984269926,1475,4901 Collington Road,Bowie,MD,20715,16.185,Middle,Prince George's,Benjamin Tasker Middle School,6-8
-76.511841450272357,39.287383104706869,1476,7431 Poplar Avenue,Baltimore,MD,21224,3.174,Elementary,Baltimore,Berkshire Elementary School,PreK-5
-75.211467475612139,38.330946764950681,1477,309 Franklin Avenue,Berlin,MD,21811,23.012,Elementary/Middle,Worcester,Berlin Intermediate,4-6
-76.960113522345253,38.647948052091138,1478,10155 Berry Road,Waldorf,MD,20603,8.036,Elementary,Charles,Berry Elementary School,PreK-5
-76.90965317744093,38.991825589184025,1479,6200 Pontiac Street,Berwyn Heights,MD,20740,16.22,Elementary,Prince George's,Berwyn Heights Elementary School,PreK-6
-77.719288930872239,39.63381940121792,1480,385 Mill Street,Hagerstown,MD,21740,21.021,Elementary,Washington,Bester Elementary School,PreK-5
-77.089922044617722,38.986684229842076,1481,4301 East-W Highway,Bethesda,MD,20814,15.03,High,Montgomery,Bethesda Chevy Chase High School,9-12
-77.100476498214547,38.9862074447135,1482,7600 Arlington Road,Bethesda,MD,20814,15.015,Elementary,Montgomery,Bethesda Elementary School,K-5
-77.176309401687632,39.052106451699906,1483,8501 Post Oak Road,Potomac,MD,20854,15.183,Elementary,Montgomery,Beverly Farms Elementary School,K-5
-76.931882671866092,38.938694965075491,1484,4915 Annapolis Road,Bladensburg,MD,20710,16.106,Elementary,Prince George's,Bladensburg Elementary School,PreK-6
-76.917888200737096,38.942352160108697,1485,4200 57th Street,Bladensburg,MD,20710,16.18,High,Prince George's,Bladensburg High School,9-12
-77.021465923001486,39.113844528717557,1486,300 Norwood Road,Silver Spring,MD,20905,15.226,High,Montgomery,Blake (James Hubert) High School,9-12
-76.455446577682991,39.112030777960854,1487,8320 Ventnor Road,Pasadena,MD,21122,2.062,Elementary,Anne Arundel,Bodkin Elementary School,K-5
-75.830991849183619,39.510887133130126,1488,2755 Augustine Herman Highway,Chesapeake City,MD,21915,7.027,Middle/High,Cecil,Bohemia Manor Middle/High School,6-12
-76.828039528876275,39.145986314008759,1489,8200 Savage-Guilford Road,Jessup,MD,20794,13.039,Elementary,Howard,Bollman Bridge Elementary School,PreK-5
-76.895530044207078,39.109721340696936,1490,16001 Sherwood Avenue,Laurel,MD,20707,16.233,Elementary,Prince George's,Bond Mill Elementary School,K-5
-76.772803279085849,39.23232033772878,1491,4979 Ilchester Road,Ellicott City,MD,21043,13.071,Middle,Howard,Bonnie Branch Middle School,6-8
-76.627866318945024,39.302896979920014,1492,1301 McCulloh Street,Baltimore,MD,21217,30.168,Middle/High,Baltimore City,Booker T. Washington Middle School # 130,6-12
-77.650864704838483,39.513896237257178,1493,5 Campus Avenue,Boonsboro,MD,21713,21.027,Elementary,Washington,Boonsboro Elementary School,K-5
-77.651533524822028,39.516189932706624,1494,10 Campus Avenue,Boonsboro,MD,21713,21.001,High,Washington,Boonsboro High School,9-12
-77.648341214136209,39.515133280907108,1495,1 J H Wade Drive,Boonsboro,MD,21713,21.01,Middle,Washington,Boonsboro Middle School,6-8
-76.74319386229358,38.97821889967873,1496,15200 Annapolis Road,Bowie,MD,20715,16.089,High,Prince George's,Bowie High School,9-12
-76.743406487233131,38.971344748103768,1497,3021 Belair Drive,Bowie,MD,20715,16.262,High,Prince George's,Bowie-Belair High School Annex,9
-76.92802841780022,38.870985764724843,1498,1401 Glacier Avenue,Capitol Heights,MD,20743,16.025,Elementary,Prince George's,Bradbury Heights Elementary School,PreK-6
-78.770775408809584,39.666012029341445,1499,909 Holland Street,Cumberland,MD,21502,1.035,Middle,Allegany,Braddock Middle School,6-8
-77.118118256059518,38.999807210667129,1500,8701 Hartsdale Avenue,Bethesda,MD,20817,15.145,Elementary,Montgomery,Bradley Hills Elementary School,K-5
-76.767664237432655,39.284468133740269,1501,6601 Baltimore National Pike,Baltimore,MD,21228,30.276,Science,Baltimore City,Bragg Nature Study Center,N/A
-76.852958000747023,38.696986783961663,1502,14101 Brandywine Road,Brandywine,MD,20613,16.088,Elementary,Prince George's,Brandywine Elementary School,PreK-5
-76.566315101353467,39.321389961980984,1503,3536 Brehms Lane,Baltimore,MD,21213,30.191,Elementary,Baltimore City,Brehms Lane Elementary School # 231,PreK-5
-76.972428069332764,39.109983448185886,1504,1901 Rainbow Drive,Silver Spring,MD,20905,15.167,Middle,Montgomery,Briggs Chaney Middle School,6-8
-76.989559893116805,39.008278600134666,1505,710 Beacon Road,Silver Spring,MD,20903,15.035,Elementary,Montgomery,Broad Acres (JoAnn Leleck ES at) Elementary School,HS-5
-79.378498829190946,39.41503343200182,1506,607 Harvey Winters Drive,Oakland,MD,21550,11.006,Elementary,Garrett,Broad Ford Elementary School,K-5
-76.484017992961057,39.048361551134796,1507,470 Shore Acres Road,Arnold,MD,21012,2.023,Elementary,Anne Arundel,Broadneck Elementary School,K-5
-76.453811351913401,39.039827639300015,1508,1265 Green Holly Drive,Annapolis,MD,21409,2.032,High,Anne Arundel,Broadneck High School,9-12
-76.820959967207557,39.088220662824476,1509,405 Brock Bridge Road,Laurel,MD,20724,2.093,Elementary,Anne Arundel,Brock Bridge Elementary School,PreK-5
-77.050691683708948,39.156669531891779,1510,2700 Spartan Road,Olney,MD,20832,15.164,Elementary,Montgomery,Brooke Grove Elementary School,PreK-5
-77.092932200320135,39.081687689177571,1511,4610 Renn Street,Rockville,MD,20853,15.055,Elementary,Montgomery,Brookhaven Elementary School,PreK-5
-76.617430345049357,39.22197569370887,1512,200 14th Avenue,Baltimore,MD,21225,2.085,Elementary,Anne Arundel,Brooklyn Park Elementary School,PreK-5
-76.619854956391677,39.216285977340128,1513,200 Hammonds Lane,Baltimore,MD,21225,2.092,Middle,Anne Arundel,Brooklyn Park Middle School,6-8
-77.230645685090451,39.138833099901809,1514,851 Quince Orchard Boulevard,Gaithersburg,MD,20878,15.024,Elementary,Montgomery,Brown Station Elementary School,HS-5
-77.633222282240212,39.318816507249387,1515,400 Central Avenue,Brunswick,MD,21716,10.025,Elementary,Frederick,Brunswick Elementary School,PreK-5
-77.608964365852373,39.316868087088743,1516,101 Cummings Drive,Brunswick,MD,21716,10.036,High,Frederick,Brunswick High School,9-12
-77.604122300045589,39.314901634983201,1517,301 Cummings Drive,Brunswick,MD,21716,10.055,Middle,Frederick,Brunswick Middle School,6-8
-76.86720630343595,39.22100768297058,1518,5450 Blue Heron Lane,Columbia,MD,21044,13.079,Elementary,Howard,Bryant Woods Elementary School,PreK-5
-76.960773134597133,39.011105187072253,1519,2611 Buck Lodge Road,Adelphi,MD,20783,16.094,Middle,Prince George's,Buck Lodge Middle School,6-8
-75.22195718762643,38.320952234175508,1520,100 Buckingham Road,Berlin,MD,21811,23.007,Elementary,Worcester,Buckingham Elementary School,PreK-4
-76.867490633698111,39.255205047990721,1521,4200 Centennial Lane,Ellicott City,MD,21042,13.046,Middle,Howard,Burleigh Manor Middle School,6-8
-77.143669388927009,38.990135430320116,1522,7900 Beech Tree Road,Bethesda,MD,20817,15.207,Elementary,Montgomery,Burning Tree Elementary School,K-5
-77.001850038267946,39.039376777970752,1523,11211 Childs Street,Silver Spring,MD,20901,15.208,Elementary,Montgomery,Burnt Mills Elementary School,PreK-5
-76.936974076758091,39.11089850991133,1524,15516 Old Columbia Pike,Burtonsville,MD,20866,15.052,Elementary,Montgomery,Burtonsville Elementary School,K-5
-77.022307716287941,39.301668052263452,1525,14601 Carrs Mill Road,Glenwood,MD,21738,13.085,Elementary,Howard,Bushy Park Elementary School,PreK-5
-76.734450513819169,38.920366898040328,1526,15542 Peach Walker Drive,Mitchellville,MD,20716,16.041,Special Education,Prince George's,C. Elizabeth Rieg Regional School,K-12
-76.330116961094021,39.561531855979283,1527,1301 North Fountain Green Road,Bel Air,MD,21015,12.02,High,Harford,C. Milton Wright High School,9-12
