"","weights"
"937",0
"938",0
"939",0
"940",0
"941",0
"942",16.0915525769923
"943",16.0915525769923
"944",0
"945",0
"946",0
"947",0
"948",0
"949",0.158418689560712
"950",0.0842966871042794
"951",0
"952",0
"953",0
"954",0
"955",0
"956",0
"957",1.75184632190483
"958",0.153558241272162
"959",0.153558241272162
"960",9.25483767789823e-320
"961",1.19077023700673
"962",1.19077023700673
"963",9.25483767789823e-320
"964",0
"965",0
"966",0
"967",0
"968",0
"969",0
"970",0
"971",0
"972",0
"973",0
"974",0
"975",0
"976",0
"977",0
"978",9.25483767789823e-320
"979",9.25483767789823e-320
"980",0
"981",0
"982",1.55273834009748
"983",1.55273834009748
"984",1.82108007133154
"985",0.243561687153882
"986",9.25483767789823e-320
"987",0
"988",0
"989",0
"990",9.25483767789823e-320
"991",0
"992",0
"993",0
"994",0.317599111960775
"995",0.317599111960775
"996",0
"997",0
"998",0.0822442097666051
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",0
"1008",1.86652674273986
"1009",0
"1010",0
"1011",0
"1012",0
"1013",0
"1014",0
"1015",0
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",0
"1026",0
"1027",0
"1028",0
"1029",0
"1030",9.25483767789823e-320
"1031",9.25483767789823e-320
"1032",0
"1033",0
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",1.79228704652391
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",0
"1052",9.25483767789823e-320
"1053",0.728600505193249
"1054",0.728600505193249
"1055",0
"1056",0
"1057",0
"1058",0
"1059",0
"1060",29.8918696106221
"1061",0.576716786526425
"1062",9.25483767789823e-320
"1063",0
"1064",0
"1065",0
"1066",0
"1067",0
"1068",0
"1069",0
"1070",0.752026073534058
"1071",9.25483767789823e-320
"1072",9.25483767789823e-320
"1073",49.4290004805017
"1074",49.4290004805017
"1075",49.4290004805017
"1076",0
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",1.06295370794433
"1083",9.25483767789823e-320
"1084",8.24310093190223
"1085",8.24310093190223
"1086",0
"1087",0
"1088",0.0520278194546356
"1089",3.49876599600805
"1090",0
"1091",0
"1092",0
"1093",0.747144813704245
"1094",0
"1095",0
"1096",0
"1097",9.25483767789823e-320
"1098",0
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",0.752026073534058
"1107",7.14927274026485
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",9.25483767789823e-320
"1117",0
"1118",0
"1119",0
"1120",1.43799802276133
"1121",1.60188584494756
"1122",1.60188584494756
"1123",9.25483767789823e-320
"1124",0
"1125",0
