id,x,y,z,traffic_light_id,tags,node_type,osmid
640685822,-76.1927657,38.965832,0,0,,2,-1
640685842,-76.1930667,38.9652574,0,0,,3,-1
640685876,-76.192917,38.9661035,0,0,,2,-1
640685882,-76.1986809,38.9630478,0,0,,3,-1
640685893,-76.1976312,38.9629206,0,0,,2,-1
640685909,-76.1975593,38.9634391,0,0,,3,-1
640685915,-76.1977532,38.9636366,0,0,,3,-1
640686057,-76.2035857,38.9615817,0,0,,3,-1
640686283,-76.203811,38.9618152,0,0,,3,-1
640686312,-76.2052809,38.9616985,0,0,,3,-1
640686321,-76.2053506,38.9614649,0,0,,3,-1
640686662,-76.1810713,38.969494,0,0,,3,-1
640712406,-76.161508,38.9849701,0,0,,2,-1
640712416,-76.161812,38.9845831,0,0,,3,-1
640712427,-76.1613677,38.984754,0,0,,2,-1
640712478,-76.1751221,38.9743986,0,0,,3,-1
640712479,-76.1612476,38.9845775,0,0,,2,-1
640712480,-76.1603396,38.9849332,0,0,,3,-1
640712485,-76.1615129,38.984462,0,0,,3,-1
640712488,-76.1611013,38.984404,0,0,,2,-1
640712496,-76.1599295,38.9853124,0,0,,3,-1
640712504,-76.1629944,38.9838569,0,0,,3,-1
640712509,-76.1610682,38.9848698,0,0,,3,-1
640712527,-76.1576652,38.9819313,0,0,,3,-1
640712536,-76.161111,38.9815789,0,0,,3,-1
640712542,-76.1589155,38.981856,0,0,,2,-1
640712549,-76.1573132,38.9817993,0,0,,3,-1
640712565,-76.1647208,38.9817797,0,0,,2,-1
640712572,-76.1653224,38.9814715,0,0,,3,-1
640712580,-76.1644672,38.9815198,0,0,,3,-1
640712592,-76.1648038,38.9815037,0,0,,3,-1
640712597,-76.1651473,38.9813371,0,0,,2,-1
640712599,-76.1654654,38.9809446,0,0,,2,-1
640712612,-76.1644916,38.9813736,0,0,,3,-1
640712628,-76.1608698,38.9817265,0,0,,3,-1
640712631,-76.1700259,38.9797282,0,0,,3,-1
640712646,-76.1658273,38.9812869,0,0,,3,-1
640712788,-76.1826163,38.9690111,0,0,,3,-1
640712792,-76.187378,38.9672553,0,0,,3,-1
640713016,-76.1882708,38.9666962,0,0,,3,-1
640723642,-76.1524253,38.9873633,0,0,,2,-1
640723650,-76.1523461,38.9877047,0,0,,3,-1
640723656,-76.1525049,38.9878861,0,0,,3,-1
640723661,-76.1532288,38.9878368,0,0,,3,-1
640723668,-76.1534675,38.9879362,0,0,,2,-1
640723680,-76.1533783,38.9876076,0,0,,3,-1
640723686,-76.1530695,38.9874642,0,0,,3,-1
640723690,-76.1525549,38.9874428,0,0,,3,-1
640723691,-76.1486035,38.9889775,0,0,,3,-1
640723700,-76.1483516,38.9892798,0,0,,3,-1
640723732,-76.1550701,38.9868182,0,0,,3,-1
640723735,-76.1527586,38.9875676,0,0,,2,-1
640723780,-76.153021,38.9877205,0,0,,2,-1
640723782,-76.1511147,38.9883458,0,0,,3,-1
640782047,-76.1419761,38.9913687,0,0,,2,-1
640782450,-76.0245339,39.027088,0,0,,2,-1
640782520,-76.0761055,39.0131156,0,0,,2,-1
640782527,-76.0748319,39.0132393,0,0,,3,-1
640782532,-76.0695162,39.0151756,0,0,,3,-1
777822777,-75.9864939,38.9560617,0,0,,2,-1
797784644,-76.1463714,38.9818577,0,0,,3,-1
797784650,-76.1178654,38.968507,0,0,,3,-1
797784674,-76.1379963,38.979195,0,0,,3,-1
797784770,-76.0784904,38.9542726,0,0,,2,-1
797784811,-76.1403137,38.9805476,0,0,,2,-1
797784817,-76.093282,38.9589533,0,0,,2,-1
797785732,-76.0944448,38.9595107,0,0,,3,-1
873345908,-75.9185775,39.1694102,0,0,,3,-1
873345922,-75.9183415,39.169125,0,0,,3,-1
1037749605,-76.07845,38.9548571,0,0,,2,-1
1037749615,-76.0790158,38.9545476,0,0,,3,-1
1037749643,-76.0785116,38.9539758,0,0,,2,-1
1037749661,-76.0780984,38.9541813,0,0,,3,-1
1037749880,-76.0778963,38.9542638,0,0,,3,-1
1063422139,-76.3187618,38.9830302,0,0,,2,-1
