id,from_lane,to_lane,group_id,max_speed,tags
20334,638401,636000,1585,60,
20337,638401,636100,1586,60,
18980,638500,493400,1072,60,
18981,638500,493401,1072,60,
18979,638500,493200,1071,60,
20109,638600,626200,1524,60,
20110,638600,626201,1524,60,
20108,638600,626000,1523,60,
20085,638700,624700,1513,55,
20086,638700,624701,1513,55,
20089,638700,624800,1514,55,
20087,638701,624700,1513,55,
20090,638701,624800,1514,55,
20088,638701,624701,1513,55,
