id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category,length
5654,588,18,1,1000,60,,3,41.445687554846486
5655,588,19,1,1000,60,,3,172.10314497200244
5656,588,20,1,1000,60,,3,29.144713789902948
5657,588,21,1,1000,60,,3,22.674667646751054
5658,588,22,1,1000,60,,3,33.644979176106318
5659,588,23,1,1000,60,,3,24.953395019044159
5660,588,24,1,1000,60,,3,65.20788341919406
5661,589,1,1,1000,60,,3,27.313246791459665
5662,590,1,1,1000,60,,3,35.89756886876583
5663,590,2,1,1000,60,,3,39.482412408817176
5664,590,3,1,1000,60,,3,71.318564977035464
5665,590,4,1,1000,60,,3,27.582951275467725
5666,591,1,1,1000,60,,3,4.8463793473065095
5667,592,1,2,1000,60,,4,138.65688243652252
5668,593,1,1,1000,60,,6,27.385022652172928
5669,593,2,1,1000,60,,6,13.641663328557401
5670,594,1,1,1000,60,,6,24.374466431081018
5671,594,2,1,1000,60,,6,10.832627850681416
5672,595,1,3,1000,55,,1,84.14849560418
5673,596,1,1,1000,60,,6,142.84771718948372
5674,596,2,1,1000,60,,6,27.870685654709561
5675,597,1,3,1000,55,,1,261.10457113092275
5676,598,1,1,1000,60,,3,138.03562540577835
5677,598,2,1,1000,60,,3,100.98497491622231
5678,599,1,1,1000,60,,3,2.552045162227091
5679,600,1,1,1000,60,,3,15.036119600511881
5680,601,1,1,1000,60,,3,2.5491334769540375
5681,602,1,1,1000,60,,3,2.5522092739786904
5682,603,1,2,1000,60,,3,24.563389958140704
5683,604,1,1,1000,60,,6,16.239443461348024
5684,605,1,2,1000,60,,3,75.42125630825576
5685,605,2,2,1000,60,,3,111.00595106868344
5686,605,3,2,1000,60,,3,306.70150184698082
5687,605,4,2,1000,60,,3,24.292713826680341
5688,606,1,1,1000,60,,3,2.544325466512317
5689,607,1,1,1000,60,,6,55.194853340640421
5690,607,2,1,1000,60,,6,37.210572048438777
5691,607,3,1,1000,60,,6,22.87116525235075
5692,607,4,1,1000,60,,6,23.420592258440237
5693,607,5,1,1000,60,,6,39.332609945369811
5694,607,6,1,1000,60,,6,46.107354932903682
5695,607,7,1,1000,60,,6,36.510172638840359
5696,607,8,1,1000,60,,6,34.309933093154356
5697,607,9,1,1000,60,,6,42.768385808829976
5698,607,10,1,1000,60,,6,28.019304603183368
5699,608,1,1,1000,60,,3,2.5449839411821835
5700,609,1,1,1000,60,,3,2.5408247655649574
5701,610,1,1,1000,60,,3,22.261976387176375
5702,610,2,1,1000,60,,3,97.48940315777725
5703,611,1,1,1000,60,,3,13.129721760802312
5704,612,1,1,1000,60,,3,2.5406720675770207
5705,613,1,1,1000,60,,3,15.045615161695844
5706,614,1,1,1000,60,,3,29.824058173931512
5707,614,2,1,1000,60,,3,17.699284930426725
5708,615,1,1,1000,60,,3,8.7953148315691152
5709,616,1,1,1000,60,,3,2.5522238842910268
5710,617,1,1,1000,60,,3,8.7963255853892814
5711,618,1,1,1000,60,,3,2.551101207519761
5712,619,1,1,1000,60,,6,73.31480549998894
5713,619,2,1,1000,60,,6,6.0662181104910022
5714,620,1,3,1000,55,,1,193.4081487457749
5715,621,1,1,1000,60,,4,36.28617128129101
5716,621,2,1,1000,60,,4,28.524898420047442
5717,621,3,1,1000,60,,4,31.14084771624939
5718,621,4,1,1000,60,,4,43.497110940056956
5719,621,5,1,1000,60,,4,83.085210023458131
5720,621,6,1,1000,60,,4,50.542397208749243
5721,621,7,1,1000,60,,4,92.070239995467247
5722,621,8,1,1000,60,,4,42.059932231129196
5723,621,9,1,1000,60,,4,102.00629946777354
5724,621,10,1,1000,60,,4,33.817541372543062
5725,621,11,1,1000,60,,4,108.87980766504519
5726,621,12,1,1000,60,,4,117.17674672019126
5727,621,13,1,1000,60,,4,71.512158303611272
5728,621,14,1,1000,60,,4,55.077934542721543
5729,621,15,1,1000,60,,4,43.089601966826983
5730,621,16,1,1000,60,,4,37.385037960883288
5731,621,17,1,1000,60,,4,43.338518653973651
5732,621,18,1,1000,60,,4,52.453952561139054
5733,621,19,1,1000,60,,4,50.926466470892663
5734,621,20,1,1000,60,,4,50.055196091967588
5735,621,21,1,1000,60,,4,50.077098300294807
5736,621,22,1,1000,60,,4,47.49713690463782
5737,621,23,1,1000,60,,4,50.818574108704027
5738,621,24,1,1000,60,,4,51.316179653521615
5739,621,25,1,1000,60,,4,51.425569285650759
5740,621,26,1,1000,60,,4,55.291556241057663
5741,621,27,1,1000,60,,4,38.62397338914324
5742,622,1,2,1000,60,,1,268.0279330091994
5743,622,2,2,1000,60,,1,140.95536479516608
5744,622,3,2,1000,60,,1,124.08805470665551
5745,622,4,2,1000,60,,1,93.916528601072784
5746,622,5,2,1000,60,,1,171.3841067330944
5747,623,1,1,1000,60,,6,37.917765749602978
5748,623,2,1,1000,60,,6,102.64618935461759
5749,623,3,1,1000,60,,6,26.080821138972411
5750,623,4,1,1000,60,,6,29.582709328112628
5751,623,5,1,1000,60,,6,122.5861626726153
5752,624,1,1,1000,60,,4,0.7891324617692261
5753,625,1,1,1000,60,,4,32.577680275783642
5754,625,2,1,1000,60,,4,41.491454290949697
5755,625,3,1,1000,60,,4,136.4645239806222
5756,625,4,1,1000,60,,4,81.857357201771521
5757,625,5,1,1000,60,,4,47.456797207838058
5758,625,6,1,1000,60,,4,45.128194480432683
5759,625,7,1,1000,60,,4,36.099939234945481
5760,625,8,1,1000,60,,4,56.082900597957234
5761,625,9,1,1000,60,,4,135.15845138364585
5762,625,10,1,1000,60,,4,85.442943701071997
5763,625,11,1,1000,60,,4,36.943254284255751
