id,nodeid,from_link,to_link,phases,rules,visibility,tags
103,182805179,207,47,,,,
102,182805179,207,46,,,,
101,182805179,207,45,,,,
15,182837349,208,8,,,,
14,182837349,208,7,,,,
966,640686283,209,435,,,,
967,640686283,209,436,,,,
1490,1063422417,210,670,,,,
1489,1063422417,210,669,,,,
1522,640712488,211,686,,,,
1521,640712488,211,685,,,,
679,182831589,212,306,,,,
681,182831589,212,308,,,,
680,182831589,212,307,,,,
936,640712565,213,423,,,,
935,640712565,213,422,,,,
21,182812864,214,12,,,,
22,182812864,214,13,,,,
472,1063422333,215,210,,,,
245,182814315,216,110,,,,
244,182814315,216,109,,,,
243,182814315,216,108,,,,
495,182856203,217,219,,,,
496,182856203,217,220,,,,
494,182856203,217,218,,,,
502,182856209,218,223,,,,
500,182856209,218,221,,,,
501,182856209,218,222,,,,
510,182807058,219,224,,,,
511,182807058,219,225,,,,
487,182856198,220,216,,,,
488,182856198,220,217,,,,
507,182807058,221,225,,,,
506,182807058,221,224,,,,
493,182856203,222,220,,,,
491,182856203,222,218,,,,
492,182856203,222,219,,,,
740,182849090,223,335,,,,
158,182846504,224,66,,,,
159,182846504,224,67,,,,
497,182856209,225,221,,,,
499,182856209,225,223,,,,
498,182856209,225,222,,,,
520,1661250081,226,230,,,,
518,1661250081,226,228,,,,
519,1661250081,226,229,,,,
98,182805179,227,45,,,,
100,182805179,227,47,,,,
99,182805179,227,46,,,,
512,1661250080,228,226,,,,
513,1661250080,228,227,,,,
448,1661249644,229,193,,,,
1105,1063458927,230,494,,,,
1106,1063458927,230,495,,,,
1107,1063458927,230,496,,,,
1120,640628907,231,499,,,,
1119,640628907,231,498,,,,
1121,640628907,231,500,,,,
1161,640629099,232,518,,,,
1162,640629099,232,519,,,,
1123,640628907,233,499,,,,
1124,640628907,233,500,,,,
1122,640628907,233,498,,,,
527,1063455268,234,232,,,,
526,1063455268,234,231,,,,
162,1847632957,235,68,,,,
163,1847632957,235,69,,,,
548,1063455290,236,240,,,,
547,1063455290,236,239,,,,
728,182848990,237,326,,,,
729,182848990,237,327,,,,
727,182848990,237,325,,,,
439,640616543,238,190,,,,
440,640616543,238,191,,,,
441,640616543,238,192,,,,
375,640616276,239,162,,,,
374,640616276,239,161,,,,
725,182848990,240,326,,,,
726,182848990,240,327,,,,
724,182848990,240,325,,,,
750,1037749880,241,339,,,,
751,1037749880,241,340,,,,
557,640723650,242,244,,,,
674,182831589,243,307,,,,
675,182831589,243,308,,,,
673,182831589,243,306,,,,
575,640723691,244,254,,,,
576,640723691,244,255,,,,
563,640723668,245,246,,,,
564,640723668,245,247,,,,
825,182849432,246,372,,,,
826,182849432,246,373,,,,
824,182849432,246,371,,,,
600,640723680,247,268,,,,
573,640723690,248,253,,,,
582,640723735,249,258,,,,
581,640723735,249,257,,,,
1476,640596451,250,661,,,,
974,2037152267,251,439,,,,
973,2037152267,251,438,,,,
1199,2037152295,252,537,,,,
1200,2037152295,252,538,,,,
1201,2037152295,252,539,,,,
553,640723642,253,242,,,,
554,640723642,253,243,,,,
317,182806265,254,138,,,,
318,182806265,254,139,,,,
577,640723700,255,256,,,,
587,640723782,256,261,,,,
588,640723782,256,262,,,,
558,640723650,257,244,,,,
574,640723690,258,253,,,,
601,640723680,259,268,,,,
560,640723661,260,245,,,,
20,640723656,261,11,,,,
19,640723656,261,10,,,,
579,640723735,262,257,,,,
580,640723735,262,258,,,,
1054,640685909,263,473,,,,
602,640685893,264,269,,,,
603,640685893,264,270,,,,
151,182854609,265,63,,,,
86,182805138,266,39,,,,
85,182805138,266,38,,,,
87,182805138,266,40,,,,
731,640658932,267,328,,,,
1250,640712496,268,564,,,,
1249,640712496,268,563,,,,
1055,640685909,269,473,,,,
940,182853135,270,427,,,,
941,182853135,270,428,,,,
939,182853135,270,426,,,,
1501,640596455,271,674,,,,
1502,640596455,271,675,,,,
