id,road_type,category,from_node,to_node,road_name,tags
63386,1,1,110028808,2702182786,Olympus Place,
63387,1,1,110028808,109980444,South 78th Street,
63388,1,1,110028808,109979274,South 78th Street,
63389,1,1,103360174,103366624,Collings Road,
63390,1,1,103360174,103360177,North Atlanta Road,
63391,1,1,103360174,103360172,North Atlanta Road,
63392,1,1,529459224,110149195,Short Lane,
63393,1,1,529459224,110339029,Marshall Road,
63394,1,1,529459224,529459319,Short Lane,
63395,1,1,112125980,112125947,West Avenue,
63396,1,1,112125980,112125988,West Avenue,
63397,1,1,112125980,111706093,Runnymede Avenue,
63398,1,1,110028835,109818936,South 78th Street,
63399,1,1,110028835,109979274,South 78th Street,
63400,1,1,110028835,2702182727,Lindbergh Boulevard,
63401,1,1,112125988,112126256,Florence Avenue,
63402,1,1,112125988,111871963,West Avenue,
63403,1,1,112125988,112125980,West Avenue,
63404,1,1,112125988,112126269,Florence Avenue,
63405,1,1,112125999,111871963,West Avenue,
63406,1,1,112125999,112126011,West Avenue,
63407,1,1,112125999,5087311853,Walnut Street,
63408,1,1,112125999,111841639,Walnut Street,
63409,1,1,1479206961,1479206124,East Eyre Street,
63410,1,1,1479206961,1479206150,West Girard Avenue,
63411,1,1,112126011,112265435,Linden Street,
63412,1,1,112126011,111789980,West Avenue,
63413,1,1,112126011,112125999,West Avenue,
63414,1,1,110028860,110014035,Brewster Avenue,
63415,1,1,110001164,110001171,South 15th Street,
63416,1,1,103360185,103375557,Minnesota Road,
63417,1,1,103360185,103366638,Minnesota Road,
63418,1,1,103360185,103360177,North Atlanta Road,
63419,1,1,103360185,103360189,North Atlanta Road,
63420,1,1,110219620,110380048,Old York Road,
63421,1,1,110219620,110380058,Old York Road,
63422,1,1,112126045,112065874,West Avenue,
63423,1,1,112126045,112289052,Vernon Road,
63424,1,1,112126045,112126034,West Avenue,
63425,1,1,110028906,110028913,Ludwick,
63426,1,1,110028906,110421206,Haverford Avenue,
63427,1,1,110028906,110421199,Haverford Avenue,
63428,1,1,768637176,110150143,South 63rd Street,
63429,1,1,768637176,768638743,South 63rd Street,
63430,1,1,110028913,110508013,North Preston Street,
63431,1,1,110028913,110028906,Ludwick,
63432,1,1,110028913,110254525,Wallace Street,
63433,1,1,529459319,529459224,Short Lane,
63434,1,1,529459319,529459224,Marshall Road,
63435,1,1,110028936,109980225,Bowman Street,
63436,1,1,110028936,110407350,Osmond Street,
63437,1,1,110028936,110028942,Bowman Street,
63438,1,1,103475337,103434509,South Merrimac Road,
63439,1,1,103475337,103413069,Minnesota Road,
63440,1,1,103475337,103365613,"[u'North Merrimac Road', u'South Merrimac Road']",
63441,1,1,112126090,112225400,Jenkintown Road,
63442,1,1,112126090,1553162667,West Avenue,
63443,1,1,112126090,112412998,Jenkintown Road,
63444,1,1,110028942,110028936,Bowman Street,
63445,1,1,110028942,109922762,Bowman Street,
63446,1,1,110028942,110534692,Barclay Street,
63447,1,1,103475369,103406436,Hampton Road,
63448,1,1,103475369,103406435,Strawbridge Avenue,
63449,1,1,103475369,103437260,Strawbridge Avenue,
63450,1,1,103475369,103439607,Hampton Road,
63451,1,1,103475373,103406435,Strawbridge Avenue,
63452,1,1,103475373,103446069,Fern Avenue,
63453,1,1,103475373,103439613,Fern Avenue,
63454,1,1,103475373,103354221,Strawbridge Avenue,
63455,1,1,110028979,110028972,Bowman Street,
