SERIALNO,PUMA,NP,VEH,HHT,HINCP,HUPAC,WIF
1074717,4905,5,2.0,1.0,42100.0,2.0,1.0
1074747,4604,2,2.0,5.0,137110.0,4.0,
1074809,4621,2,2.0,1.0,140020.0,4.0,2.0
1074851,4614,0,,,,,
1074940,4629,1,2.0,4.0,97690.0,4.0,
1074982,4616,3,3.0,1.0,273440.0,4.0,3.0
1075152,4609,2,2.0,1.0,28400.0,4.0,0.0
1075160,4619,2,2.0,2.0,50000.0,4.0,1.0
1075203,4601,6,2.0,3.0,28830.0,2.0,2.0
1075230,4637,2,2.0,7.0,86500.0,4.0,
1075281,4602,1,0.0,4.0,10800.0,4.0,
1075297,4626,3,0.0,3.0,40000.0,2.0,1.0
1075365,4630,5,4.0,1.0,240000.0,1.0,3.0
1075416,4504,4,2.0,1.0,95000.0,3.0,2.0
1075588,4701,8,2.0,1.0,58000.0,2.0,1.0
1075651,4702,1,3.0,4.0,120000.0,4.0,
1075674,4613,4,1.0,1.0,340100.0,2.0,1.0
1075742,4602,0,,,,,
1075769,4616,1,1.0,4.0,75000.0,4.0,
1076002,4502,2,2.0,1.0,33100.0,4.0,0.0
1076040,4602,5,2.0,5.0,134400.0,4.0,
1076124,4801,5,2.0,1.0,187900.0,2.0,2.0
1076146,4502,2,2.0,1.0,95600.0,4.0,1.0
1076156,4627,1,1.0,4.0,60000.0,4.0,
1076222,4622,2,1.0,1.0,111810.0,4.0,2.0
1076301,4607,4,1.0,3.0,45600.0,3.0,1.0
1076368,4601,1,1.0,6.0,12800.0,4.0,
1076413,4614,2,3.0,7.0,11200.0,4.0,
1076458,4631,2,2.0,1.0,180000.0,4.0,2.0
1076467,4618,2,0.0,1.0,184000.0,4.0,2.0
1076520,4613,3,1.0,5.0,364000.0,4.0,
1076653,4613,1,1.0,6.0,19000.0,4.0,
1076745,4624,2,4.0,1.0,451000.0,4.0,1.0
1076803,4612,4,2.0,1.0,169900.0,3.0,2.0
1076893,4803,4,2.0,1.0,60000.0,3.0,1.0
1076940,4615,2,2.0,1.0,20000.0,4.0,0.0
1076964,4638,1,1.0,4.0,35000.0,4.0,
