"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"A10","A13","RTS","A_1","0",10,"2/5/7","A_1",420,161,120,50,420,240,420,8.75
"A10","A14","RTS","A_1","0",10,"2/5/7/9","A_1",720,162,120,50,720,240,720,15
"A10","A2","RTS","A_2","0",5,"3/26/23/21/19/17/15/13","A_2",960,163,120,50,960,240,960,20
"A10","A3","RTS","A_2","0",5,"3/26/23/21/19/17/15","A_2",840,164,120,50,840,240,840,17.5
"A10","A4","RTS","A_2","0",5,"3/26/23/21/19/17","A_2",720,165,120,50,720,240,720,15
"A10","A5","RTS","A_2","0",5,"3/26/23/21/19","A_2",660,166,120,50,660,240,660,13.75
"A10","A6","RTS","A_2","0",5,"3/26/23/21","A_2",540,167,120,50,540,240,540,11.25
"A10","A7","RTS","A_2","0",5,"3/26/23","A_2",420,168,120,50,420,240,420,8.75
"A10","A8","RTS","A_2","0",5,"3/26","A_2",300,169,120,50,300,240,300,6.25
"A11","A1","RTS","A_2","0",4,"4/3/26/23/21/19/17/15/13/11","A_2",1200,170,120,50,1200,240,1200,25
"A11","A13","RTS","A_1","0",11,"5/7","A_1",300,171,120,50,300,240,300,6.25
"A11","A14","RTS","A_1","0",11,"5/7/9","A_1",600,172,120,50,600,240,600,12.5
"A11","A2","RTS","A_2","0",4,"4/3/26/23/21/19/17/15/13","A_2",1080,173,120,50,1080,240,1080,22.5
"A11","A3","RTS","A_2","0",4,"4/3/26/23/21/19/17/15","A_2",960,174,120,50,960,240,960,20
"A11","A4","RTS","A_2","0",4,"4/3/26/23/21/19/17","A_2",840,175,120,50,840,240,840,17.5
"A11","A5","RTS","A_2","0",4,"4/3/26/23/21/19","A_2",780,176,120,50,780,240,780,16.25
"A11","A6","RTS","A_2","0",4,"4/3/26/23/21","A_2",660,177,120,50,660,240,660,13.75
"A11","A7","RTS","A_2","0",4,"4/3/26/23","A_2",540,178,120,50,540,240,540,11.25
"A11","A8","RTS","A_2","0",4,"4/3/26","A_2",420,179,120,50,420,240,420,8.75
